Time,Pressure,Temperature
114,107.037184095,26.8235700301
115,107.037184095,26.9613132521
116,107.100306653,27.0526696669
117,106.91093898,27.2136545372
118,107.100306653,27.3064895404
119,107.226551768,27.3978855182
120,107.348851723,27.5139614691
121,107.475096838,27.6750518899
122,107.348851723,27.7665009895
123,107.538219395,27.8826484177
124,107.538219395,27.9741323735
125,107.727587068,28.1121157685
126,107.786764465,28.228343134
127,107.976132138,28.343146784
128,108.039254695,28.5277686686
129,108.102377253,28.6208379516
130,108.287799765,28.7357508524
131,108.350922323,28.8506987383
132,108.287799765,29.0355651552
133,108.16549981,29.1520672324
134,108.477167438,29.267153224
135,108.350922323,29.4289264471
136,108.603412553,29.5441141253
137,108.729657668,29.7060358098
138,108.729657668,29.799437589
139,108.91508018,29.9848751018
140,109.041325295,30.1002906803
141,109.230692968,30.2391495943
142,109.289870365,30.4029554644
143,109.479238038,30.5419842955
144,109.289870365,30.7045323363
145,109.542360595,30.8671959509
146,109.41611548,31.0065072742
147,109.605483153,31.1459085303
148,109.41611548,31.3089050886
149,109.91715078,31.4735018757
150,110.228818408,31.6823836955
151,110.228818408,31.8458225472
152,110.41818608,32.0329957246
153,110.91922138,32.1982218425
154,110.544431195,32.3384897276
155,110.481308638,32.5261834167
156,110.41818608,32.7140858874
157,110.291940965,32.9259185207
158,110.355063523,33.066801299
159,110.481308638,33.2553374599
160,110.729853708,33.3965199788
161,110.91922138,33.561648702
162,110.792976265,33.7031219073
163,110.544431195,33.8924654971
164,110.856098823,34.0342656143
165,111.045466495,34.1777049132
166,111.108589053,34.3901514097
167,111.357134123,34.5339676341
168,111.108589053,34.7244658953
169,110.982343938,34.8671478318
170,111.294011565,35.0581411552
171,111.42025668,35.2012007767
172,111.546501795,35.3927089085
173,111.609624353,35.5603383408
174,111.546501795,35.7282039943
175,111.609624353,35.8720637395
176,111.483379238,36.0646616812
177,111.731924308,36.2332626444
178,112.047537095,36.4036400747
179,112.110659653,36.5971547736
180,111.795046865,36.7894871037
181,111.858169423,36.983696818
182,112.047537095,37.155266271
183,112.611694952,37.3732010634
184,112.67087235,37.56850969
185,112.797117465,37.7641988168
186,112.548572395,37.9602756451
187,112.232959608,38.2063153084
188,112.359204723,38.3536215335
189,112.67087235,38.550905324
190,113.112730252,38.74860628
191,112.92336258,38.9217475842
192,112.733994908,39.1202506759
193,112.733994908,39.2690238515
194,112.797117465,39.4682994503
195,112.797117465,39.6932227995
196,113.112730252,39.8682164523
197,112.797117465,40.0182698168
198,113.049607695,40.1701724276
199,113.112730252,40.3461524122
200,113.112730252,40.5479562808
201,113.235030208,40.7247420147
202,112.797117465,40.9274823658
203,113.112730252,41.0794726805
204,113.361275323,41.283113255
205,113.298152765,41.4615294389
206,113.613765552,41.6661643354
207,113.550642995,41.871342407
208,113.298152765,42.0251825132
209,113.550642995,42.1793352908
210,113.613765552,42.3614800754
211,113.67294295,42.5669265568
212,113.67294295,42.7238417923
213,113.92543318,42.9056954888
214,114.237100807,43.1143232106
215,114.051678295,43.2444055077
216,114.051678295,43.4540239237
217,114.051678295,43.690797781
218,113.799188065,43.8751412801
219,113.736065508,44.033302856
220,113.550642995,44.1667739323
221,114.051678295,44.3256099008
222,114.363345922,44.565403065
223,114.114800852,44.7251798075
224,113.988555737,44.9123521451
225,113.799188065,45.0729656204
226,114.114800852,45.1813896791
227,113.92543318,45.3426635402
228,113.862310622,45.5316072909
229,113.988555737,45.6664181043
230,114.300223365,45.8032243991
231,114.552713595,45.9660635265
232,114.552713595,46.1017959408
233,114.552713595,46.3206129248
234,114.42646848,46.4311730529
235,114.489591037,46.5679168017
236,114.42646848,46.7327559884
237,114.300223365,46.8980372847
238,114.489591037,47.0096365013
239,114.552713595,47.2036773586
240,114.42646848,47.3421578951
241,114.552713595,47.5108676019
242,114.615836152,47.650058769
243,114.801258665,47.8178722489
244,114.738136107,47.9861622725
245,114.67501355,48.1834069587
246,114.92750378,48.3545345458
247,114.864381222,48.5243764516
248,115.112926292,48.7234571887
249,115.302293965,48.8367561662
250,115.365416522,49.0098346996
251,115.112926292,49.2106149224
252,115.112926292,49.383021335
253,115.112926292,49.5559575867
254,115.053748895,49.6727638115
255,114.864381222,49.84660069
256,115.053748895,49.991575702
257,115.239171407,50.1682618202
258,115.365416522,50.2845215166
259,115.302293965,50.4306573976
260,115.17604885,50.5790434782
261,115.239171407,50.7557807072
262,115.112926292,50.9031934285
263,115.239171407,51.022913398
264,115.613961592,51.1710627073
265,115.67708415,51.3497636132
266,115.112926292,51.5007164537
267,115.302293965,51.6502065773
268,115.365416522,51.8914201495
269,115.42853908,52.0420290943
270,115.554784195,52.2256357643
271,115.365416522,52.3157640241
272,115.67708415,52.4984195901
273,115.365416522,52.652739069
274,115.491661637,52.7745933888
275,115.866451822,52.8986801523
276,115.67708415,53.0834308773
277,115.491661637,53.1770350445
278,115.67708415,53.3001540335
279,116.114996892,53.45496746
280,116.114996892,53.6732998268
281,116.241242007,53.7996197881
282,115.866451822,53.9242796297
283,115.866451822,54.0830302274
284,116.055819495,54.2084057061
285,115.92957438,54.3980688333
286,116.367487122,54.5262558538
287,116.17811945,54.6527685378
288,116.17811945,54.8461826481
289,115.92957438,54.9735299578
290,115.803329265,55.1032421577
291,115.866451822,55.2312685203
292,115.92957438,55.3290411579
293,116.114996892,55.4903929155
294,116.367487122,55.621507712
295,116.17811945,55.8497671684
296,115.92957438,55.9798086278
297,116.17811945,56.1433822521
298,116.367487122,56.2430458897
299,116.114996892,56.3429206257
300,115.92957438,56.5077609688
301,116.055819495,56.6731827961
302,116.114996892,56.7739788405
303,116.367487122,56.9066051716
304,115.92957438,57.0417250151
305,115.92957438,57.109432748
306,116.055819495,57.3110255539
307,116.114996892,57.4132186697
308,115.92957438,57.5135029942
309,116.055819495,57.6161473912
310,116.367487122,57.7512177739
311,116.805399865,57.8543968245
312,116.742277307,57.9901742223
313,116.742277307,58.1285225868
314,116.994767537,58.2651220684
315,116.67915475,58.3694749531
316,116.616032192,58.5068046845
317,116.493732237,58.6817965747
318,116.868522422,58.7849226955
319,116.805399865,58.9610036186
320,116.556854795,59.0294216193
321,116.556854795,59.2064701187
322,116.742277307,59.275265944
323,116.43060968,59.4176336475
324,116.805399865,59.5582244087
325,117.18019005,59.6656416475
326,117.243312607,59.8092721782
327,117.306435165,59.9511171266
328,116.93164498,60.0594974022
329,116.742277307,60.2384583362
330,116.742277307,60.3111575295
331,116.93164498,60.4181542504
332,116.994767537,60.5642752721
333,117.117067492,60.6718961416
334,117.117067492,60.8188738195
335,117.18019005,60.8925499249
336,116.93164498,61.0009895976
337,116.868522422,61.1120180849
338,116.994767537,61.2210110855
339,116.994767537,61.2953772246
340,116.805399865,61.4444964992
341,116.556854795,61.5543368521
342,116.67915475,61.6292832241
343,116.241242007,61.7419495403
344,116.114996892,61.8148714272
345,116.367487122,61.9280292493
346,116.556854795,62.0036351243
347,116.805399865,62.1149254549
348,116.868522422,62.1908647671
349,116.93164498,62.3050292567
350,117.057890095,62.3789243436
351,117.117067492,62.4553387665
352,116.805399865,62.5702201523
353,116.805399865,62.646981873
354,116.994767537,62.7599798031
355,116.93164498,62.8370885613
356,116.742277307,62.9505992172
357,116.868522422,63.0280591333
358,117.057890095,63.1056624782
359,116.994767537,63.1834099433
360,117.117067492,63.2978642809
361,116.868522422,63.3759705322
362,116.742277307,63.4542233373
