Time,Temperature,Pressure,Time,Temperature,Pressure
197,52.6353549519,115.298348805,,,
198,52.7281384763,114.91961346,,,
199,52.8210905708,115.17210369,,,
200,53.0055592115,115.235226248,,,
201,53.1302113346,115.298348805,,,
202,53.2532161608,115.108981133,,,
203,53.3471356358,115.108981133,,,
204,53.4412305609,115.298348805,,,
205,53.5355020033,115.546893875,,,
206,53.6910442647,115.610016433,,,
207,53.8174092273,115.610016433,,,
208,53.910413092,115.799384105,,,
209,54.0691192262,115.610016433,,,
210,54.1944593693,115.357526203,,,
211,54.3221158512,115.67313899,,,
212,54.4801500584,115.862506662,,,
213,54.5764201366,115.799384105,,,
214,54.7372927514,115.92562922,,,
215,54.8320535362,115.92562922,,,
216,54.9613872326,115.610016433,,,
217,55.0586143623,115.483771318,,,
218,55.1865222939,115.42064876,,,
219,55.2842040473,115.736261548,,,
220,55.3820844283,115.67313899,,,
221,55.4454049865,115.799384105,,,
222,55.5763964598,115.862506662,,,
223,55.6748759812,116.111051733,,,
224,55.8374008123,116.363541962,,,
225,55.9364218834,116.363541962,,,
226,56.0687722573,115.862506662,,,
227,56.1330127095,115.736261548,,,
228,56.2326544343,115.862506662,,,
229,56.3658384575,115.862506662,,,
230,56.4638861581,115.862506662,,,
231,56.5642318302,115.736261548,,,
232,56.6647929365,115.736261548,,,
233,56.7634690906,116.047929175,,,
234,56.8644606392,116.111051733,,,
235,56.9319102301,115.862506662,,,
236,57.0671038281,115.862506662,,,
237,57.1666382162,116.047929175,,,
238,57.3025196749,116.111051733,,,
239,57.4046939155,115.862506662,,,
240,57.5733509998,116.17417429,,,
241,57.7104402932,116.42666452,,,
242,57.8113772399,115.92562922,,,
243,57.94918288,116.363541962,,,
244,58.0182422029,116.047929175,,,
245,58.0874064664,116.552909635,,,
246,58.2238820544,116.489787077,,,
247,58.2933605633,116.552909635,,,
248,58.5002556914,116.801454705,,,
249,58.6401743667,116.552909635,,,
250,58.7453996029,116.047929175,,,
251,58.8134888143,116.42666452,,,
252,58.9191216788,116.738332147,,,
253,59.0250043929,116.363541962,,,
254,59.1311386193,116.42666452,,,
255,59.2353070366,116.801454705,,,
256,59.3419440059,117.053944935,,,
257,59.5180100808,117.053944935,,,
258,59.625329598,116.864577262,,,
259,59.6970209114,116.616032192,,,
260,59.8047766376,116.616032192,,,
261,59.8745091173,116.801454705,,,
262,59.9827004302,116.801454705,,,
263,60.0911587775,116.738332147,,,
264,60.1976180693,117.053944935,,,
265,60.2702493626,116.92769982,,,
266,60.3794230321,116.738332147,,,
267,60.4523574341,116.237296848,,,
268,60.4888704295,116.111051733,,,
269,60.5597015622,116.552909635,,,
270,60.6696035594,116.67520959,,,
271,60.7430262865,116.801454705,,,
272,60.8165734589,116.92769982,,,
273,60.9248226853,117.243312607,,,
274,61.0726628306,117.243312607,,,
275,61.1838761298,117.117067492,,,
276,61.2930513363,116.864577262,,,
277,61.3675422407,116.67520959,,,
278,61.5169127882,116.738332147,,,
279,61.5543368521,116.801454705,,,
280,61.6644595666,116.92769982,,,
281,61.8148714272,116.552909635,,,
282,61.8902765883,116.738332147,,,
283,61.9658154017,116.67520959,,,
284,62.0391216729,116.738332147,,,
285,62.1149254549,116.92769982,,,
286,62.228885447,117.42873512,,,
287,62.3050292567,117.053944935,,,
288,62.417114293,116.92769982,,,
289,62.4553387665,116.801454705,,,
290,62.5702201523,116.864577262,,,
291,62.646981873,116.801454705,,,
292,62.7238836736,116.801454705,,,
293,62.762387313,116.801454705,,,
294,62.8370885613,116.67520959,,,
295,62.8756960508,116.801454705,,,
296,62.991731981,117.053944935,,,
297,63.0692680079,117.053944935,,,
298,63.1834099433,117.053944935,,,
299,63.2613022246,116.92769982,,,
300,63.3393400225,116.801454705,,,
301,63.3784137103,117.117067492,,,
302,63.4958549932,116.990822377,,,
303,63.5350757912,116.92769982,,,
304,63.6111714615,116.616032192,,,
305,63.6898682185,116.67520959,,,
306,63.7292725876,117.243312607,,,
307,63.8081937633,116.990822377,,,
308,63.8872654671,116.92769982,,,
309,63.9640104226,116.801454705,,,
310,64.0036764869,116.738332147,,,
311,64.1229035939,117.365612562,,,
312,64.2025800344,117.365612562,,,
313,64.3223841442,117.365612562,,,
314,64.399943288,117.554980235,,,
315,64.4801580473,117.618102792,,,
316,64.6007746469,117.18019005,,,
317,64.6410590939,116.990822377,,,
318,64.7217469494,117.053944935,,,
319,64.8000651889,117.053944935,,,
320,64.8405462278,117.491857677,,,
321,64.9216287426,117.554980235,,,
322,65.0435551205,117.554980235,,,
323,65.1632955687,117.243312607,,,
324,65.2450228629,117.618102792,,,
325,65.3679225151,117.42873512,,,
326,65.4500626417,117.117067492,,,
327,65.4911951279,117.243312607,,,
328,65.5710082405,117.744347907,,,
329,65.6535612059,117.554980235,,,
330,65.7362828785,117.365612562,,,
